2020/9/9 星期三 1:35:35	获取到:1157个CDN,开始智能测速中...

2020/9/9 星期三 13:44:29	正在初始化...已完成

2020/9/9 星期三 13:44:30	链接12306服务器速度:169毫秒[优]

2020/9/9 星期三 13:44:30	您的VIP已过期,已恢复为免费用户,续期请重新注册

2020/9/9 星期三 13:44:30	获取到:1156个CDN,开始智能测速中...

2020/9/9 星期三 13:44:41	查询完毕，本次查询共用时:751毫秒。

2020/9/9 星期三 13:47:12	开始查询2020-10-08车次，间隔：默认

2020/9/9 星期三 13:59:30	链接12306服务器速度:73毫秒[优]

2020/9/9 星期三 14:06:30	链接12306服务器速度:91毫秒[优]

2020/9/9 星期三 14:17:31	链接12306服务器速度:151毫秒[优]

2020/9/9 星期三 15:30:03	开始预订G6029车次的车票...

2020/9/9 星期三 15:30:03	[普通]线程启动完成,开始解析算法...

2020/9/9 星期三 15:30:03	[任务1]算法解析完成,开始申请订单...

2020/9/9 星期三 15:30:04	[任务2]申请订单成功,开始获取令牌...

2020/9/9 星期三 15:30:04	[任务2]当前需要滑块验证码，正在执行...

2020/9/9 星期三 15:30:04	[微信通知]发送成功！

2020/9/9 星期三 15:30:10	[任务2]滑块验证码效验完成，提交订单...

2020/9/9 星期三 15:30:10	[任务3]令牌获取完成,开始效验订单...

2020/9/9 星期三 15:30:11	[任务4]实时余票为(744)张,继续提交...

2020/9/9 星期三 15:30:11	[提交成功]等待处理,本次用时:8.09秒

2020/9/9 星期三 15:30:13	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/9 星期三 15:30:30	[订票成功]返回订单号:EK62630259

2020/9/9 星期三 15:30:30	[锁定订单]坐席为系统分配,已完成锁定

2020/9/9 星期三 15:30:30	[Bypass]: 恭喜,抢票成功!信息如下:乘客:蔡惠子,日期:2020-10-08,车次:G6029,地点:岳阳东07:24-深圳北11:38,席别:二等座,请在30分钟内完成付款,更多信息请查询未付款订单...

2020/9/9 星期三 15:30:30	[微信通知]发送成功！

2020/9/9 星期三 15:33:51	查询完毕，本次查询共用时:33毫秒。

